coin,date,price_usd,market_cap_usd,volume_24h_usd
binancecoin,2025-07-01,657.0109566115938,95851253503.23659,695153815.9147367
binancecoin,2025-07-02,646.1777891600059,94270479419.54607,581547247.9770566
binancecoin,2025-07-03,660.0254823640146,96288135477.05896,758146950.3828626
binancecoin,2025-07-04,663.0154690088326,96722558238.7678,713062571.7212918
binancecoin,2025-07-05,653.1616270479346,95281695660.61313,635866546.3146216
binancecoin,2025-07-06,655.9253698398683,95693799964.02425,367646275.07166517
binancecoin,2025-07-07,663.0185149322261,96725240650.71089,562060051.2427313
binancecoin,2025-07-08,661.2876967099644,96456273360.42487,646920102.0613401
binancecoin,2025-07-09,660.7042150664093,96371665854.3558,659569899.7140087
binancecoin,2025-07-10,669.2613994307441,97575907951.41354,641678068.1682327
binancecoin,2025-07-11,685.1054482111715,99945907459.49225,1137433259.720816
binancecoin,2025-07-12,689.8418420972016,100618288747.50497,1909585413.5492668
binancecoin,2025-07-13,685.4703165458919,100001602756.8841,1045215775.1037439
binancecoin,2025-07-14,692.0429275667424,100931809897.69768,827022284.8266991
binancecoin,2025-07-15,689.3152771073793,100564286673.74365,1871816396.541036
binancecoin,2025-07-16,689.863427315096,100743249710.19092,1508842031.6879208
binancecoin,2025-07-17,708.5580809732663,103380492819.6281,1723439341.1205275
binancecoin,2025-07-18,722.3981283678474,105397429062.45035,2159930031.483713
binancecoin,2025-07-19,729.5149107763856,106427658192.56117,3421946485.4001713
binancecoin,2025-07-20,732.9272514055848,106924979937.98863,1435654835.547203
binancecoin,2025-07-21,758.1392224608369,110586719333.9134,1798602738.0495224
binancecoin,2025-07-22,766.3958790528078,111807161492.59859,2452658270.4492984
binancecoin,2025-07-23,786.4807204757146,109558550761.51875,2644910595.3765583
binancecoin,2025-07-24,776.2226902262614,108115424622.89601,4430495787.544528
binancecoin,2025-07-25,771.2312622168195,107448286648.29321,2578577950.386883
binancecoin,2025-07-26,784.7856013546323,109286453608.45149,2074059703.484386
binancecoin,2025-07-27,794.2867236239222,110707645996.55731,892831867.5658532
binancecoin,2025-07-28,843.449638843771,117523608100.6293,2256704380.679607
binancecoin,2025-07-29,822.2765976915088,114557221095.58499,3011452631.6826835
binancecoin,2025-07-30,805.1438193193468,112111480479.16483,2130673065.5019739
binancecoin,2025-07-31,793.8734614175534,110456100095.04463,1929266771.61827
binancecoin,2025-07-31,790.2391369334563,110115437622.32385,1579464224.8741062
