coin,date,price_usd,market_cap_usd,volume_24h_usd
bitcoin,2025-07-01,107132.79910701896,2130471589191.581,22489515582.41552
bitcoin,2025-07-02,105613.39974163055,2100087563077.9324,25033160828.30909
bitcoin,2025-07-03,108824.44423167943,2163835371770.0977,36395184773.06136
bitcoin,2025-07-04,109602.20483914016,2179664531219.9346,29892049537.628605
bitcoin,2025-07-05,108040.8919400104,2148601712907.3433,24248906784.57383
bitcoin,2025-07-06,108217.46849992426,2152344091389.654,10042942280.966904
bitcoin,2025-07-07,109215.19771840284,2171497503296.0474,14638669497.351297
bitcoin,2025-07-08,108300.71675785031,2153777588647.4504,25493246475.80407
bitcoin,2025-07-09,108953.19187727802,2167049398056.7417,20488865138.27645
bitcoin,2025-07-10,111327.53054245669,2215210888568.426,37078460440.66385
bitcoin,2025-07-11,115879.65030112496,2303292356999.7437,56204086624.04028
bitcoin,2025-07-12,117571.02510036016,2338612196961.7437,64185145923.88688
bitcoin,2025-07-13,117418.95745007684,2335485977830.673,24351256098.393543
bitcoin,2025-07-14,119117.55666327637,2369050366835.5605,27310851454.97692
bitcoin,2025-07-15,119833.67446712355,2383825813673.847,68915956378.80447
bitcoin,2025-07-16,117678.19493404306,2341223394839.9204,80299520980.2335
bitcoin,2025-07-17,118748.1627367753,2363194640209.576,50374263848.76278
bitcoin,2025-07-18,119445.36520434043,2376237382764.3013,49282617205.72662
bitcoin,2025-07-19,117988.94664455787,2347165317624.536,58896449260.69391
bitcoin,2025-07-20,117901.62655900871,2345398337785.541,23934511126.349533
bitcoin,2025-07-21,117256.9208222684,2333757287859.664,36702153882.06748
bitcoin,2025-07-22,117482.46977767294,2337365497467.1313,46344384345.39471
bitcoin,2025-07-23,119955.79570607653,2387516761560.4927,58939000420.94166
bitcoin,2025-07-24,118629.05588130427,2359931875300.5244,45225685167.61703
bitcoin,2025-07-25,118354.43517438594,2354764508342.9937,51940414419.3327
bitcoin,2025-07-26,117540.80837085741,2338855554998.7812,91617702596.10347
bitcoin,2025-07-27,117959.54234360624,2346959472845.027,25145925063.881348
bitcoin,2025-07-28,119418.91405141471,2376524838793.0137,30220402191.467663
bitcoin,2025-07-29,118003.30201607826,2349472897426.4688,43433742203.62158
bitcoin,2025-07-30,117853.30892863822,2345126504020.1143,42860287143.68828
bitcoin,2025-07-31,117833.24087995925,2343717963709.7124,43054424656.58649
bitcoin,2025-07-31,116179.53553550688,2312198938142.119,43189339744.061714
