coin,date,price_usd,market_cap_usd,volume_24h_usd
solana,2025-07-01,154.9374500694811,82818070628.0388,5839631136.997528
solana,2025-07-02,146.84115991278014,78488996165.02196,4180937195.699031
solana,2025-07-03,152.1680329188485,81356182087.82619,4586707670.749116
solana,2025-07-04,152.28063806980848,81414932798.53902,4481298325.462197
solana,2025-07-05,147.76302956048175,79002678553.63802,4122205670.4260592
solana,2025-07-06,147.60067170952217,78946152630.50418,1854457228.577465
solana,2025-07-07,151.92103968743746,81209567201.79767,3555730137.1277676
solana,2025-07-08,148.79005045485957,79678109116.42232,4159999387.584406
solana,2025-07-09,151.83083400485827,81344510607.36617,4528768718.257452
solana,2025-07-10,157.20772193763892,84264481217.45757,5340601044.883773
solana,2025-07-11,163.85821380442644,87651094464.58328,10873010259.89518
solana,2025-07-12,162.75319398002793,87228696845.69495,15000208185.36994
solana,2025-07-13,160.46917812212587,85990922452.45544,7427115213.712982
solana,2025-07-14,161.2426294578984,86379646790.38098,7216327088.3555765
solana,2025-07-15,162.28222240485653,87012722669.01315,14500503326.7985
solana,2025-07-16,163.96583057213138,87943386177.56264,12915906103.683296
solana,2025-07-17,173.8289647474319,93485435152.36853,17811143762.30818
solana,2025-07-18,176.0976453468298,94705914575.06302,16421519782.114107
solana,2025-07-19,177.36979874415755,95389053896.84322,18801332820.737236
solana,2025-07-20,176.91082733883786,95159016657.7261,8109077838.043139
solana,2025-07-21,180.99223128612934,97369774805.6155,13879156359.595356
solana,2025-07-22,196.42381167802614,105726477497.21577,23536247199.551838
solana,2025-07-23,205.2909062553001,110388822982.47327,33288976911.758366
solana,2025-07-24,189.5923023530127,102009512597.66689,22842746849.566635
solana,2025-07-25,182.56084286755046,98288901831.98495,19515303060.801735
solana,2025-07-26,186.17182549934944,100191430260.7939,17804092124.295223
solana,2025-07-27,184.9395837508933,99537260340.7252,6066268600.664028
solana,2025-07-28,188.5758287219798,101416340780.40605,7055013487.194188
solana,2025-07-29,183.03025266261037,98532622033.55843,11859569057.897078
solana,2025-07-30,181.16776459533068,97454126235.82953,5784849447.910539
solana,2025-07-31,177.8780960276323,95607702499.41104,6340104641.556541
solana,2025-07-31,172.76572586757015,93015651158.40462,5493560400.117968
