coin,date,price_usd,market_cap_usd,volume_24h_usd
binancecoin,2025-06-02,661.3452261434389,96509769841.11876,513744446.15491945
binancecoin,2025-06-03,666.0561104906627,97164288190.66109,550346321.1131796
binancecoin,2025-06-04,661.17332497159,96448470573.61153,717080413.430261
binancecoin,2025-06-05,663.70338541173,96818655325.17992,585654885.1918986
binancecoin,2025-06-06,634.1479715861758,92528733228.30528,1050942219.4544812
binancecoin,2025-06-07,643.7566841456504,93918845142.08775,828491539.5454317
binancecoin,2025-06-08,650.7937997932994,94946550697.756,464282809.21614456
binancecoin,2025-06-09,652.274428548494,95162483374.16092,277471527.06296444
binancecoin,2025-06-10,666.3374143222443,97228659760.41823,720838499.864964
binancecoin,2025-06-11,673.4760595844963,98246414096.53857,915030301.0453427
binancecoin,2025-06-12,667.7388930109494,97396778654.55505,926482996.0464325
binancecoin,2025-06-13,656.4804964003403,95779026195.60716,833602957.1016513
binancecoin,2025-06-14,654.9095462616511,95536361449.31184,1091022440.7624466
binancecoin,2025-06-15,645.8086677048335,94233719227.42334,465113546.69991523
binancecoin,2025-06-16,648.2042600997396,94569766054.11093,342983199.2537816
binancecoin,2025-06-17,651.4813571171453,95211381338.87088,677081516.7980691
binancecoin,2025-06-18,648.799470473488,94651882459.78012,919084069.2175109
binancecoin,2025-06-19,643.7728727892951,93914603189.19572,805534251.3963257
binancecoin,2025-06-20,644.3626647131019,94038287566.09367,530108876.6028053
binancecoin,2025-06-21,641.4660754156638,93579216011.8553,566416175.4191926
binancecoin,2025-06-22,626.5687672231079,91275068281.2763,506048055.8076519
binancecoin,2025-06-23,615.9200839908369,89858565946.78096,1152325722.5588028
binancecoin,2025-06-24,640.2543180324582,93384461253.8329,1018106255.6202904
binancecoin,2025-06-25,643.4133640920619,93854693466.93323,541068316.461594
binancecoin,2025-06-26,645.8665732235779,94213865677.2479,827204901.7289867
binancecoin,2025-06-27,642.4572030728536,93722988687.98412,624553271.4953628
binancecoin,2025-06-28,645.9995550778237,94241465985.32014,506712411.6691133
binancecoin,2025-06-29,648.766805209224,94647807214.77576,346225669.1301844
binancecoin,2025-06-30,655.0764136195659,95568417529.12051,422629715.33849674
