coin,date,price_usd,market_cap_usd,volume_24h_usd
ethereum,2025-06-02,2538.3300584367485,306561765778.2403,11338340571.11249
ethereum,2025-06-03,2609.737253959435,314999579353.95825,15623967732.418657
ethereum,2025-06-04,2595.4689570062997,313315832347.0171,15955008730.338179
ethereum,2025-06-05,2610.343189828259,315159803382.89014,16809606446.176416
ethereum,2025-06-06,2421.601103763502,292341916400.9464,25849573159.64817
ethereum,2025-06-07,2481.4039836690267,299560106673.7574,18395107930.47655
ethereum,2025-06-08,2526.291995889778,304953508465.0457,9535426814.691927
ethereum,2025-06-09,2508.784123584585,302870081038.261,10206893115.537256
ethereum,2025-06-10,2685.0001850413178,324315565109.11993,19485734665.28548
ethereum,2025-06-11,2808.503208314919,339012253954.4242,38281210143.95115
ethereum,2025-06-12,2776.1371915822333,334990282503.402,27369030837.548595
ethereum,2025-06-13,2653.158968452672,320595535562.5316,26068993569.969894
ethereum,2025-06-14,2577.04861752583,311111352117.7261,38576471746.00814
ethereum,2025-06-15,2534.0702195359518,306048481935.1591,12077031034.291521
ethereum,2025-06-16,2547.8456040920437,307537228689.2678,11678912429.510712
ethereum,2025-06-17,2561.329843569428,309982828015.90594,24222149649.172424
ethereum,2025-06-18,2514.986700576147,303697873489.69434,25926506708.040215
ethereum,2025-06-19,2521.3334233964915,304290652058.44,17800721253.243202
ethereum,2025-06-20,2522.1791903642184,304481216643.1207,10392473841.155851
ethereum,2025-06-21,2405.695434213183,290401843920.2328,20482816663.29469
ethereum,2025-06-22,2270.581996055585,273839538572.25955,16155611764.84833
ethereum,2025-06-23,2227.4287266371684,268777741291.43988,28181442532.315876
ethereum,2025-06-24,2423.899644268608,292612668627.3885,25494295400.420887
ethereum,2025-06-25,2446.539301545049,295402538889.65454,19669025068.963604
ethereum,2025-06-26,2417.2267855277296,291827501114.87933,15513055665.262428
ethereum,2025-06-27,2415.031864876594,291547094716.2168,16271811388.723804
ethereum,2025-06-28,2423.0302896731746,292419308271.8665,13100825617.816572
ethereum,2025-06-29,2437.133001780241,294208600645.2538,5787313890.541637
ethereum,2025-06-30,2502.6672721177083,302158279316.21674,10236257918.833096
